name,brand,category,subcategory,gender,price,currency,color,material,sizes,description,product_url,photo_url
"Domvesta Белен","Domvesta","dresses","Пышная со шлейфом","female","170500","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Грандиозное свадебное платье, выполненное в классическом A-силуэтном крое. Корсетный лиф с мягким сердцевидным вырезом изящно подчёркивает линию плеч и декольте, создавая ощущение лёгкости и гармонии. Плавный переход к многослойной юбке наполняет образ воздушностью, а асимметричный верхний слой придаёт силуэту современную динамику. Нижняя часть выполнена из нежного фатина, собранного в объёмные, будто парящие, волны, которые красиво движутся при каждом шаге и образуют эффектный шлейф. Это платье","https://domvesta.ru/catalog/svadebnye-platya/bbiamo-belen/","https://domvesta.ru/upload/resize_cache/iblock/19c/nlmrq6gebpwq6vpknvzqfb3qh6inqkda/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta_3120.jpg"
"Vintage Джастина","Vintage","dresses","Длинная со шлейфом","female","49000","RUB","Айвори","Жемчуг","Можно уточнить по телефону +7 (495) 191-18-16","Это изысканное свадебное платье, выполненное в обтягивающем силуэте, идеально подчеркивающее фигуру невесты. Лиф платья украшен утонченным бисерным декором, который плавно переходит на юбку, создавая эффект легкости и текстурной глубины. Глубокий V-образный вырез на груди привлекает внимание, открывая декольте и подчеркивая линию плеч. Тонкие бретели и открытая спина добавляют легкости и изысканности, а прямой силуэт юбки и небольшой шлейф придают всему образу стройность и грацию. Это платье иде","https://domvesta.ru/catalog/svadebnye-platya/justinavintage/","https://domvesta.ru/upload/resize_cache/iblock/a60/ztxvvb6jc3fe8y3ys53s8g8ge3od2i0f/900_900_199a1baf496a0de0a1b3152c72c5d9378/021-_Dom-Vesty.JPG"
"Ave Dress Аперитив","Ave Dress","dresses","Длинная со шлейфом","female","59400","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Элегантный вариант для невест, желающих воссоздать особенный неповторимый образ. Свадебный комплект состоит из юбки и жакета. Закрытый верх с широким воротником и длинными рукавами издает строгий сдержанный стиль, который усиливается однотонным цветовым решением. Обволакивающая фигуру длинная юбка в пол визуально вытягивает силуэт и завершает весь ансамбль небольшим аккуратным шлейфом. Модель Аперитив прекрасно отыгрывает элегантные интерьеры московских заведений и прекрасно поддерживает крупные","https://domvesta.ru/catalog/svadebnye-platya/aperetif-ave/","https://domvesta.ru/upload/resize_cache/iblock/63b/ca4lbh6vc0lecq1ejwk153152icd5sxp/900_900_199a1baf496a0de0a1b3152c72c5d9378/DOMVESTA_9034.jpg"
"Domvesta Фиеста","Domvesta","dresses","Пышная со шлейфом","female","104000","RUB","Айвори","Микадо","Можно уточнить по телефону +7 (495) 191-18-16","Торжество неповторимого стиля - обворожительное свадебное платье Фиеста в классическом A-силуэтном крое. Открытый лиф, украшенный сверкающим декором, максимально выгодно демонстрирует плечи и зону декольте,&nbsp;&nbsp;открытые лопатки создают пленительный женственный образ. Длинная юбка в пол завершается роскошным шлейфом. Глубокий вырез, обнажающий ноги, усиливает драматическое настроение и позволяет добиться максимум эффектности. Платье Фиеста прекрасно поддерживает крупные активные аксессуары","https://domvesta.ru/catalog/svadebnye-platya/fiesta-strekoza/","https://domvesta.ru/upload/resize_cache/iblock/6cc/id8dfz5zkkrrzbveyx360d720giokxz3/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr3495.jpg"
"Tatiana Kaplun Фэйт","Tatiana Kaplun","dresses","Длинная со шлейфом","female","59200","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Платье Фэйт — это воплощение изысканной чувственности и голливудского гламура, созданное для невесты, которая стремится к безупречному стилю и хочет подчеркнуть свою женственность с элегантной смелостью. Изящный лиф с открытыми плечами и мягкой драпировкой деликатно обрамляет зону декольте и ключицы, придавая образу утончённость и романтичность. Основная часть платья выполнена из гладкого, струящегося атласа, задрапированного мягкими складками. Высокий разрез на юбке добавляет образу современной","https://domvesta.ru/catalog/svadebnye-platya/feit/","https://domvesta.ru/upload/resize_cache/iblock/d0f/zac95cnfom390gcjpcs5nm9offqzls0e/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr8909.jpg"
"Unona / Jade Пальмира","Unona / Jade","dresses","А-образная","female","57500","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Изящный дуэт корсета и длинной юбки прямого кроя создаёт образ, в котором современная лаконичность соединяется с утончённой женственностью. Прямой корсет с чистыми линиями подчёркивает фигуру, формируя стройный силуэт, а полупрозрачная юбка из струящейся ткани добавляет лёгкости и воздушного движения. Особый шарм комплекту можно придать с помощью твилли — он может быть завязан на шее, спущен вдоль спины или использован как эффектный акцент, превращая образ в по-настоящему модный и запоминающийся","https://domvesta.ru/catalog/svadebnye-platya/komplect-palmira/","https://domvesta.ru/upload/resize_cache/iblock/0bd/szmwfb870oajunnk6c1qtnc9gzxj7lju/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta_2546.jpg"
"Vintage Розалия","Vintage","dresses","Пышная со шлейфом","female","330000","RUB","Айвори","Тафта","Можно уточнить по телефону +7 (495) 191-18-16","Платье Розалия выполнено из тончайшей тафты с кружевными оборками по рюшам.&nbsp; Обращаем ваше внимание, что за модели данного бренда, начиная с 48 российского размера, осуществляется наценка +10%, а от 52 размера +20%.","https://domvesta.ru/catalog/svadebnye-platya/rosalia/","https://domvesta.ru/upload/resize_cache/iblock/cf7/k5gnlwv6qfcdsevwi32xf9jniih7vqw6/900_900_199a1baf496a0de0a1b3152c72c5d9378/15-Rosalia11.jpg"
"Domvesta Аттика","Domvesta","dresses","Длинная со шлейфом","female","115500","RUB","","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Аттика облегающего кроя. Полупрозрачный корсетный лиф с высоким воротником и изящной линией плеч украшен тонкими нитями жемчуга, которые элегантно ниспадают, создавая ощущение драгоценного ожерелья. Сложная вышивка и мерцающие пайетки покрывают всё платье, придавая ему ослепительный блеск и подчёркивая каждый изгиб фигуры. Приталенный силуэт «русалка» мягко облегает бёдра и плавно расширяется к низу, формируя выразительный шлейф, который эффектно струится за невестой при каждом ","https://domvesta.ru/catalog/svadebnye-platya/attica-bbiamo/","https://domvesta.ru/upload/resize_cache/iblock/94d/xbuoynrkdsyf7osdf0b80prlem9u5xu1/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr0033.jpg"
"Marry Mark Эристар","Marry Mark","dresses","Пышная со шлейфом","female","96100","RUB","Айвори","Фатин, кружево","Можно уточнить по телефону +7 (495) 191-18-16","Обворожительное свадебное платье Эристар. Эта модель - воплощение мечты о легком, но в то же время роскошном свадебном дне. Корсетный лиф с вырезом &quot;сердечко&quot; украшен сложной вышивкой из бисера и пайеток. Прозрачные боковые вставки и тонкие бретели добавляют образу чувственности и воздушности. Воздушные, спадающие с плеч рукава из тончайшей ткани придают платью неземной шарм и легкость, словно крылья, ниспадающие до пола. От талии струится пышная юбка А-силуэта, выполненная из мерцающе","https://domvesta.ru/catalog/svadebnye-platya/eristar-mmark/","https://domvesta.ru/upload/resize_cache/iblock/a79/b5gyoeduzr13fygfms9p6rppu9sjyy6m/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta6633.jpg"
"Penki Studio Шарли","Penki Studio","dresses","А-образная","female","42700","RUB","Айвори","","Можно уточнить по телефону +7 (495) 191-18-16","Изящное платье выполнено из струящегося атласа. Шарли подчеркнёт красоту и изящество невесты, а также будет гармонично сочетаться с любым стилем торжества. Мягкие оборки лифа собраны между прямым втачным поясом и воротником-стойкой с длинными лентами, напоминающих легкий шарф-твилли. Спинка платья открыта и плавно переходит к юбке. Юбка платья имеет обволакивающую А-силуэтную форму с небольшим шлейфом. Платье Шарли — это лаконичный основной образ, который подчеркнет индивидуальность невесты, а т","https://domvesta.ru/catalog/svadebnye-platya/charliepenki/","https://domvesta.ru/upload/resize_cache/iblock/704/0pppjq7mh7rjyut9j3hake109mzfpc5z/900_900_199a1baf496a0de0a1b3152c72c5d9378/vesta_190624_224.jpg"
"Vintage Палермо","Vintage","dresses","Длинная со шлейфом","female","81300","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Палермо имеет облегающий силуэт &quot;русалка&quot; из плотного, струящегося атласа, который подчеркивает каждый изгиб фигуры, плавно переходя в роскошный шлейф. Главный акцент сделан на лифе: корсет-бюстье с фигурным вырезом и четкими линиями, подчеркивающими талию. Платье дополнено элегантным шарфом-накидкой из атласа. Его можно задрапирован вокруг шеи, создавая эффект высокого воротника, или свободно спустить на плечи, имитируя длинные рукава или накидку. Драпировка на бедрах","https://domvesta.ru/catalog/svadebnye-platya/palermo-vintage-atlas/","https://domvesta.ru/upload/resize_cache/iblock/28e/2n8rffg0v9ai4cv65lc7j6m6hogu1egi/900_900_199a1baf496a0de0a1b3152c72c5d9378/171025vesta_95.jpg"
"Domvesta Лавил 1","Domvesta","dresses","Длинная со шлейфом","female","123800","RUB","Айвори","Микадо","Можно уточнить по телефону +7 (495) 191-18-16","Это потрясающее свадебное платье олицетворяет сочетание элегантности и смелости. Корсетный лиф, акцентирующий открытые плечи и линию декольте, плавно переходит в пышную юбку в стиле «А-силуэт». Роскошные объемные рукава, вдохновленные ретро стилистикой, добавляют ощущение воздушности. Открытая спина демонстрирует хрупкие лопатки, дополненные изящной шнуровкой, которая обеспечивает невесте идеальную посадку платья по фигуре, акцентируя талию, а завершает весь торжественный ансамбль эффектный длин","https://domvesta.ru/catalog/svadebnye-platya/lavil1blammobiamo/","https://domvesta.ru/upload/resize_cache/iblock/544/0gga4i2uedc0jgbz56oo7v5e35oyvnuw/900_900_199a1baf496a0de0a1b3152c72c5d9378/342-_Dom-Vesty.JPG"
"Marry Mark Крейзи","Marry Mark","dresses","Длинная со шлейфом","female","41000","RUB","Айвори","Креп","Можно уточнить по телефону +7 (495) 191-18-16","Основу платья Крейзи составляет облегающий корсетный лиф, который подчеркивает изящество фигуры и создает утонченный силуэт. Лиф имеет открытые плечи с элегантными спущенными рукавами, акцентируя внимание на линии ключиц и шеи. Юбка платья выполнена в прямом, облегающем крое, который плавно расширяется к низу, создавая эффектный силуэт. Материал юбки — креп, обеспечивает идеальную посадку и благородное сияние. Небольшой и аккуратный шлейф завершает образ, добавляя ему торжественности и величия, ","https://domvesta.ru/catalog/svadebnye-platya/kreizi-mark/","https://domvesta.ru/upload/resize_cache/iblock/aa5/hlx2x7n5i4hb7wzb6utw3j2yzz4aytsg/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9008.jpg"
"Domvesta Фиби","Domvesta","dresses","Короткая","female","55000","RUB","Айвори","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Фиби - воплощение свежести и изящной дерзости, создано для невесты, которая не боится быть настоящей и выбирает лёгкость вместо канона. Открытый лиф без бретелей с глубоким V-образным вырезом и тонкой полупрозрачной вставкой деликатно подчёркивает линию декольте, создавая баланс между соблазном и утончённостью. Мягкое сияние вышивки и бисера делает ткань живой - она будто дышит при каждом движении. Короткая юбка добавляет образу игривости и динамики, сохраняя ощущение воздушност","https://domvesta.ru/catalog/svadebnye-platya/blammo-fibi/","https://domvesta.ru/upload/resize_cache/iblock/fe9/vgt2bgzex8mr2siizylsz7l2gitrzyxu/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta_2117.jpg"
"Unona / Jade Фэй","Unona / Jade","dresses","Пышная со шлейфом","female","65000","RUB","Айвори","Микадо","Можно уточнить по телефону +7 (495) 191-18-16","Великолепное свадебное платье A-силуэтного кроя. Корсет выполнен из гладкой плотной ткани с аккуратными выточками, подчёркивающими талию и визуально удлиняющими силуэт. Его геометрический крой с чёткими линиями создаёт максимально современный свадебный стиль. Юбка пышная ниспадает&nbsp;&nbsp;мягкими, глубокими складками, которые придают образу объём и королевскую торжественность. Благодаря плотной ткани, она сохраняет свою форму и красиво струится до пола, создавая ощущение лёгкости и роскоши. О","https://domvesta.ru/catalog/svadebnye-platya/fayeunona/","https://domvesta.ru/upload/resize_cache/iblock/e2e/n9opqtzbarpylepnk7h1e65fran1368q/900_900_199a1baf496a0de0a1b3152c72c5d9378/318-_Dom-Vesty.JPG"
"Domvesta Элпис макси","Domvesta","dresses","Длинная","female","123800","RUB","Айвори","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Это платье с утонченным, но смелым дизайном, выполненное из прозрачной ткани с изысканной вышивкой и декором, создающим эффект сияния. Молочно-белое платье плотно облегает фигуру, акцентируя силуэт, и имеет длинные рукава с застежками на манжетах. Отделка в виде цветочных элементов и страз украшает ткань, придавая изделию современную и шикарную атмосферу. Силуэт подчеркивает стройные линии тела. Спинка платья оформлена с застежкой и тоже украшена вышивкой, создавая эффект изысканности и гармонии","https://domvesta.ru/catalog/svadebnye-platya/elpismaxi-blammobamo/","https://domvesta.ru/upload/resize_cache/iblock/7f4/5vrjfqrsjedztd0lnviiv5mxa75q3fbe/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr4056-1.jpg"
"Domvesta Розали","Domvesta","dresses","Длинная","female","227500","RUB","Айвори","","Можно уточнить по телефону +7 (495) 191-18-16","Невероятно притягательное свадебное платье на бретелях, выполненное в облегающем силуэте рыбка. Модель полностью расшита эффектным кружевом и сверкающими пайетками. Зона декольте имеет сдержанный вырез каре, небольшой вырез по спине, открывающий лопатки, придает свадебному образу нотку шарма и чувственности. Длинная юбка, показывающая стройную фигуру, дополнена роскошным шлейфом. Богатый декор платья делает ваш образ самодостаточным без дополнительных украшений. Можно добавить элегантные ниспада","https://domvesta.ru/catalog/svadebnye-platya/rosalli-rosalli/","https://domvesta.ru/upload/resize_cache/iblock/739/pbb6wffzo1qy5x8ugitr2wfez2ylsex9/900_900_199a1baf496a0de0a1b3152c72c5d9378/vesta300724_256.jpg"
"Domvesta Азия","Domvesta","dresses","Длинная с небольшим шлейфом","female","108500","RUB","Айвори","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","В этом платье соединяются чувственная утончённость и архитектурная строгость линий. Корсет с мягким вырезом деликатно подчёркивает зону декольте, а полупрозрачное кружевное болеро с высоким воротником и длинными рукавами, которым можно усилить визуал, добавляет образу аристократической изысканности. Облегающая юбка прямого кроя с аккуратным разрезом и тонкой кружевной отделкой создаёт плавный, вытянутый силуэт, визуально подчёркивая грацию походки. Спинка с корсетной шнуровкой завершает образ но","https://domvesta.ru/catalog/svadebnye-platya/strekoza-asia/","https://domvesta.ru/upload/resize_cache/iblock/6e6/r347g54wg33khe2wu8griwj2rm263duh/900_900_199a1baf496a0de0a1b3152c72c5d9378/171025vesta_235.jpg"
"Marry Mark Магда","Marry Mark","dresses","Длинная со шлейфом","female","46200","RUB","Айвори","Креп","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Магда, выполненное в облегающем силуэте &quot;рыбка&quot;, который безупречно прорисовывает фигуру, придавая ей максимум грации. Главной изюминкой лифа является аккуратный ромбовидный вырез, прикрытый элегантной драпировкой, которая создает интригу и притягивает взгляд. Лиф платья выполнен с высоким воротником-стойкой, украшенным деликатной россыпью бисера или жемчуга, что придает образу благородство и утонченность. Длинные рукава с объемными плечами добавляют образу драматичнос","https://domvesta.ru/catalog/svadebnye-platya/mmark-magda/","https://domvesta.ru/upload/resize_cache/iblock/a59/o6a8isod0699v61yrrpncqfxanw1klj1/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9284.jpg"
"Kookla Ликси","Kookla","dresses","А-образная","female","62500","RUB","Айвори","","Можно уточнить по телефону +7 (495) 191-18-16","Великолепное свадебное платье, выполненное в A-силуэтном крое. Роскошная драпировка на плечах выполнена из мягкого тюля, придает образу изысканную романтичность. Лёгкость и нежность ткани создают воздушную текстуру и плавные линии. Приталенный корсет подчёркивает фигуру. Его контуры, дополненные изящной драпировкой, придают образу силуэт «песочных часов», а глубокий вырез в зоне декольте добавляет чувственности. Длинная юбка из плотного атласа с высоким разрезом создаёт динамичный и дерзкий обра","https://domvesta.ru/catalog/svadebnye-platya/lixikookla/","https://domvesta.ru/upload/resize_cache/iblock/4ba/4643pyryhv6b57dp4vtoyuxh8vo3f79j/900_900_199a1baf496a0de0a1b3152c72c5d9378/357-_Dom-Vesty.JPG"
"Domvesta Вивара","Domvesta","dresses","Пышная со шлейфом","female","105000","RUB","Айвори","","Можно уточнить по телефону +7 (495) 191-18-16","Обворожительное свадебное платье с минималистичным дизайном, выполненное в классическом A-силуэтном крое. Открытый лиф обеспечивает вниманием зону декольте и плечи, открытые лопатки вносят легкий характер драмы. Длинная объемная юбка в пол завершает свадебный ансамбль роскошным шлейфом. Платье Вивара идеально подходит для формирования образа классической невесты и гармонично смотрится во всех свадебных сезонах, а также универсально для любой свадебной локации. Обращаем Ваше внимание, что за моде","https://domvesta.ru/catalog/svadebnye-platya/vivara-strekoza/","https://domvesta.ru/upload/resize_cache/iblock/9a5/gxqy0r8pxhupwi6ekrnvasi0psgdxp0u/900_900_199a1baf496a0de0a1b3152c72c5d9378/vesta_2904_142.jpg"
"Vintage Фания","Vintage","dresses","Длинная со шлейфом","female","112100","RUB","Айвори","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Платье Фания представлено прямом крое. Материал модели — изысканное, фактурное кружево с цветочным узором, которое полностью покрывает платье. Кружево богато дополнено деликатным сиянием за счет пайеток, что придает наряду мерцающий эффект. Центральным элементом дизайна является структурный корсет-бюстье без бретелей. Вырез-декольте имеет форму &quot;сердечка&quot;, что добавляет образу нежности и романтичности. Корсет имеет выраженные вертикальные косточки и четкую линию талии, которая подчерки","https://domvesta.ru/catalog/svadebnye-platya/fania-vintage/","https://domvesta.ru/upload/resize_cache/iblock/71d/x9f0v0ze8yu60b6yjtlclulro24ak8f3/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9949.jpg"
"Marry Mark Анджевис","Marry Mark","dresses","Длинная с небольшим шлейфом","female","79900","RUB","Айвори, Кремовый","Кружево","Можно уточнить по телефону +7 (495) 191-18-16","Лиф платья имеет глубокий V-образный вырез деликатно открывает зону декольте. Длинные облегающие рукава, выполненные из того же тончайшего кружева, создают эффект невесомости и утонченности, плавно переходя в изящные манжеты. Прозрачные кружевные элементы на лифе и рукавах позволяют коже деликатно просвечивать. Корсетная основа обеспечивает идеальную посадку, формируя безупречный силуэт. Модель плавно струится по фигуре, облегая бедра и плавно расширяясь от колена, подчеркивая женственные изгибы","https://domvesta.ru/catalog/svadebnye-platya/andjevis-mmark/","https://domvesta.ru/upload/resize_cache/iblock/a17/rfow6bao9nlot1qybbimkuloyk165p2q/900_900_199a1baf496a0de0a1b3152c72c5d9378/Dom-Vesta5675.jpg"
"Tatiana Kaplun Алайя","Tatiana Kaplun","dresses","Длинная со шлейфом","female","56700","RUB","Айвори","Атлас","Можно уточнить по телефону +7 (495) 191-18-16","Свадебное платье Алайя, выполненное в облегающем крое из нежного атласа. Изящный лиф с асимметричным вырезом деликатно подчёркивает линию декольте и ключиц. Одна бретель украшена объёмными цветочными аппликациями, которые, словно живые бутоны, распускаются на плече и плавно ниспадают по корсету, создавая эффект цветочного водопада. Ненавязчивая драпировка по всей поверхности лифа и бёдер не только визуально вытягивает фигуру, но и создаёт игру света и тени, придавая образу утончённость и объём. ","https://domvesta.ru/catalog/svadebnye-platya/alaya-kaplun/","https://domvesta.ru/upload/resize_cache/iblock/64f/no9b8t0y9ffk58xbyhpgmhs0fb8gk3i2/900_900_199a1baf496a0de0a1b3152c72c5d9378/Bezymyannyy-kadr9342.jpg"
